시군구,번지,주택유형,도로조건,연면적(㎡),대지면적(㎡),계약년월,계약일,거래금액(만원),건축년도,도로명,해제사유발생일,거래구분,중개사사무소,본번,부번,단지명,전용면적(㎡),층,등기신청일자,거래유형,중개사소재지,건물명,대지권면적(㎡),발표
장기동,1885-6,아파트,,,,202306,5,33000,2012.0,김포한강2로 229,,,,1885,6.0,한강호반베르디움,59.9412,16.0,20230714,중개거래,경기 김포시,,,발표전
걸포동,1595,아파트,,,,202306,5,60000,2020.0,걸포2로 83,,,,1595,0.0,한강메트로자이1단지,74.4083,18.0,20230810,중개거래,경기 김포시,,,발표전
풍무동,583-6,아파트,,,,202306,15,27000,1999.0,유현로 19,,,,583,6.0,유현마을(신동아),59.93,4.0, ,직거래,-,,,발표전
풍무동,583-6,아파트,,,,202306,28,30000,1999.0,유현로 19,,,,583,6.0,유현마을(신동아),84.91,10.0,20230905,중개거래,경기 김포시,,,발표전
풍무동,BL 24--1,아파트,,,,202306,2,62300,2018.0,유현로 215,,,,24,1.0,풍무 센트럴 푸르지오,84.9706,20.0,20230728,중개거래,경기 김포시,,,발표전
풍무동,BL 24--1,아파트,,,,202306,1,52500,2018.0,유현로 215,,,,24,1.0,풍무 센트럴 푸르지오,59.9669,8.0,20230728,중개거래,경기 김포시,,,발표전
고촌읍,BL-A2,아파트,,,,202306,20,48900,2020.0,수기로 136,,,,00A2,0.0,캐슬앤파밀리에시티 2단지,59.9362,9.0,20230823,중개거래,경기 김포시,,,발표전
통진읍,513,아파트,,,,202306,26,36900,2021.0,마송1로 122,,,,513,0.0,e편한세상김포로얄하임,84.9865,10.0,20230627,중개거래,경기 김포시,,,발표전
풍무동,766,아파트,,,,202306,10,52000,2010.0,풍무로96번길 100,20230717.0,,,766,0.0,풍무자이2단지,106.4038,4.0, ,중개거래,경기 김포시,,,발표전
풍무동,BL 25--1,아파트,,,,202306,16,62800,2016.0,유현로 200,,,,25,1.0,풍무 푸르지오,84.9975,15.0,20230825,중개거래,경기 김포시,,,발표전
감정동,550-1,아파트,,,,202306,23,11000,1992.0,감정로 3,,,,550,1.0,신한,47.76,1.0,20230726,중개거래,경기 김포시,,,발표전
풍무동,795,아파트,,,,202306,10,45000,2018.0,풍무로68번길 10,,,,795,0.0,김포풍무꿈에그린더포레듀3단지,74.996,20.0,20230717,중개거래,경기 김포시,,,발표전
풍무동,795,아파트,,,,202306,1,44000,2018.0,풍무로68번길 10,,,,795,0.0,김포풍무꿈에그린더포레듀3단지,74.996,18.0,20230818,중개거래,경기 김포시,,,발표전
걸포동,1595,아파트,,,,202306,3,61000,2020.0,걸포2로 83,,,,1595,0.0,한강메트로자이1단지,74.4083,32.0,20230726,중개거래,경기 김포시,,,발표전
풍무동,748,아파트,,,,202306,7,25600,2002.0,풍무로69번길 51,,,,748,0.0,당곡마을(월드메르디앙),55.7447,3.0,20230703,중개거래,경기 김포시,,,발표전
고촌읍,BL-A2,아파트,,,,202306,22,57000,2020.0,수기로 136,,,,00A2,0.0,캐슬앤파밀리에시티 2단지,84.9582,8.0,20230817,중개거래,경기 김포시,,,발표전
운양동,1301-1,아파트,,,,202306,6,50300,2014.0,김포한강11로 275,,,,1301,1.0,한강신도시롯데캐슬,84.7628,6.0,20230808,중개거래,경기 김포시,,,발표전
고촌읍,BL-A1,아파트,,,,202306,22,52000,2020.0,태리로 236,,,,00A1,0.0,캐슬앤파밀리에시티 1단지,80.8285,8.0,20230828,중개거래,경기 김포시,,,발표전
장기동,1642,아파트,,,,202306,17,48000,2008.0,김포한강1로 9,,,,1642,0.0,고창마을(반도유보라),101.8709,11.0,20230807,중개거래,경기 김포시,,,발표전
장기동,1642,아파트,,,,202306,16,50500,2008.0,김포한강1로 9,,,,1642,0.0,고창마을(반도유보라),101.8709,12.0,20230720,중개거래,경기 김포시,,,발표전
고촌읍,1058,아파트,,,,202306,14,59800,2002.0,수기로 8,,,,1058,0.0,오룡마을한화,137.818,10.0,20230626,직거래,-,,,발표전
장기동,1629,아파트,,,,202306,21,40500,2009.0,김포한강2로 192,,,,1629,0.0,고창마을(자연앤어울림),84.67,12.0,20230915,중개거래,경기 김포시,,,발표전
장기동,1342,아파트,,,,202306,14,35850,2001.0,청송로 20,,,,1342,0.0,청송마을(현대2),84.281,6.0,20230720,중개거래,경기 김포시,,,발표전
장기동,1886-2,아파트,,,,202306,19,37000,2011.0,김포한강2로 208,,,,1886,2.0,고창마을(케이씨씨스위첸),59.984,11.0,20230707,중개거래,경기 김포시,,,발표전
장기동,1886-2,아파트,,,,202306,24,36000,2011.0,김포한강2로 208,,,,1886,2.0,고창마을(케이씨씨스위첸),59.984,9.0,20230804,중개거래,경기 김포시,,,발표전
장기동,1342,아파트,,,,202306,13,33000,2001.0,청송로 20,,,,1342,0.0,청송마을(현대2),84.281,4.0,20230630,중개거래,경기 김포시,,,발표전
장기동,1342,아파트,,,,202306,1,38000,2001.0,청송로 20,,,,1342,0.0,청송마을(현대2),114.192,4.0,20230602,중개거래,경기 김포시,,,발표전
